train_number,run_date,station_code,sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,distance_km
12302,2026-08-05,NDLS,1,,,2026-08-05T16:55:00,2026-08-05T16:55:00,0.0
12302,2026-08-05,CNB,2,2026-08-05T21:30:00,2026-08-05T21:33:54,2026-08-05T21:35:00,2026-08-05T21:39:24,440.0
12302,2026-08-05,PRYJ,3,2026-08-05T23:43:00,2026-08-05T23:43:54,2026-08-05T23:45:00,2026-08-05T23:45:54,634.0
12302,2026-08-05,DDU,4,2026-08-06T00:45:00,2026-08-06T00:47:06,2026-08-06T00:55:00,2026-08-06T00:57:06,787.0
12302,2026-08-05,GAYA,5,2026-08-06T03:10:00,2026-08-06T03:10:00,2026-08-06T03:13:00,2026-08-06T03:12:30,992.0
12302,2026-08-05,DHN,6,2026-08-06T05:55:00,2026-08-06T05:55:00,2026-08-06T06:00:00,2026-08-06T06:00:30,1193.0
12302,2026-08-05,ASN,7,2026-08-06T06:54:00,2026-08-06T06:54:00,2026-08-06T06:56:00,2026-08-06T06:56:30,1251.0
12302,2026-08-05,HWH,8,2026-08-06T09:55:00,2026-08-06T09:55:12,,,1450.0
22436,2026-08-05,NDLS,1,,,2026-08-05T06:00:00,2026-08-05T06:10:00,0.0
22436,2026-08-05,CNB,2,2026-08-05T10:08:00,2026-08-05T10:22:00,2026-08-05T10:10:00,2026-08-05T10:24:30,440.0
22436,2026-08-05,PRYJ,3,2026-08-05T12:08:00,2026-08-05T12:18:54,2026-08-05T12:10:00,2026-08-05T12:20:54,634.0
22436,2026-08-05,BSB,4,2026-08-05T14:00:00,2026-08-05T14:11:48,,,759.0
12952,2026-08-05,NDLS,1,,,2026-08-05T16:55:00,2026-08-05T17:00:00,0.0
12952,2026-08-05,KOTA,2,2026-08-05T21:30:00,2026-08-05T21:35:18,2026-08-05T21:40:00,2026-08-05T21:46:18,465.0
12952,2026-08-05,BRC,3,2026-08-06T03:40:00,2026-08-06T03:46:48,2026-08-06T03:50:00,2026-08-06T03:56:48,992.0
12952,2026-08-05,MMCT,4,2026-08-06T08:35:00,2026-08-06T08:42:54,,,1384.0
12302,2026-08-06,NDLS,1,,,2026-08-06T16:55:00,2026-08-06T17:05:00,0.0
12302,2026-08-06,CNB,2,2026-08-06T21:30:00,2026-08-06T21:44:42,2026-08-06T21:35:00,2026-08-06T21:49:42,440.0
12302,2026-08-06,PRYJ,3,2026-08-06T23:43:00,2026-08-06T23:55:54,2026-08-06T23:45:00,2026-08-06T23:59:54,634.0
12302,2026-08-06,DDU,4,2026-08-07T00:45:00,2026-08-07T00:58:12,2026-08-07T00:55:00,2026-08-07T01:08:12,787.0
12302,2026-08-06,GAYA,5,2026-08-07T03:10:00,2026-08-07T03:21:06,2026-08-07T03:13:00,2026-08-07T03:23:36,992.0
12302,2026-08-06,DHN,6,2026-08-07T05:55:00,2026-08-07T06:03:24,2026-08-07T06:00:00,2026-08-07T06:09:24,1193.0
12302,2026-08-06,ASN,7,2026-08-07T06:54:00,2026-08-07T06:58:06,2026-08-07T06:56:00,2026-08-07T07:00:06,1251.0
12302,2026-08-06,HWH,8,2026-08-07T09:55:00,2026-08-07T09:58:30,,,1450.0
22436,2026-08-06,NDLS,1,,,2026-08-06T06:00:00,2026-08-06T06:02:00,0.0
22436,2026-08-06,CNB,2,2026-08-06T10:08:00,2026-08-06T10:17:42,2026-08-06T10:10:00,2026-08-06T10:21:42,440.0
22436,2026-08-06,PRYJ,3,2026-08-06T12:08:00,2026-08-06T12:13:00,2026-08-06T12:10:00,2026-08-06T12:16:00,634.0
22436,2026-08-06,BSB,4,2026-08-06T14:00:00,2026-08-06T14:02:48,,,759.0
12952,2026-08-06,NDLS,1,,,2026-08-06T16:55:00,2026-08-06T16:57:00,0.0
12952,2026-08-06,KOTA,2,2026-08-06T21:30:00,2026-08-06T21:33:18,2026-08-06T21:40:00,2026-08-06T21:43:48,465.0
12952,2026-08-06,BRC,3,2026-08-07T03:40:00,2026-08-07T03:42:42,2026-08-07T03:50:00,2026-08-07T03:52:42,992.0
12952,2026-08-06,MMCT,4,2026-08-07T08:35:00,2026-08-07T08:36:12,,,1384.0
12302,2026-08-07,NDLS,1,,,2026-08-07T16:55:00,2026-08-07T16:55:00,0.0
12302,2026-08-07,CNB,2,2026-08-07T21:30:00,2026-08-07T21:33:48,2026-08-07T21:35:00,2026-08-07T21:40:48,440.0
12302,2026-08-07,PRYJ,3,2026-08-07T23:43:00,2026-08-07T23:44:06,2026-08-07T23:45:00,2026-08-07T23:47:06,634.0
12302,2026-08-07,DDU,4,2026-08-08T00:45:00,2026-08-08T00:54:24,2026-08-08T00:55:00,2026-08-08T01:03:54,787.0
12302,2026-08-07,GAYA,5,2026-08-08T03:10:00,2026-08-08T03:19:42,2026-08-08T03:13:00,2026-08-08T03:23:12,992.0
12302,2026-08-07,DHN,6,2026-08-08T05:55:00,2026-08-08T06:01:42,2026-08-08T06:00:00,2026-08-08T06:06:42,1193.0
12302,2026-08-07,ASN,7,2026-08-08T06:54:00,2026-08-08T06:55:42,2026-08-08T06:56:00,2026-08-08T06:58:12,1251.0
12302,2026-08-07,HWH,8,2026-08-08T09:55:00,2026-08-08T09:58:18,,,1450.0
22436,2026-08-07,NDLS,1,,,2026-08-07T06:00:00,2026-08-07T06:02:00,0.0
22436,2026-08-07,CNB,2,2026-08-07T10:08:00,2026-08-07T10:09:06,2026-08-07T10:10:00,2026-08-07T10:11:36,440.0
22436,2026-08-07,PRYJ,3,2026-08-07T12:08:00,2026-08-07T12:09:48,2026-08-07T12:10:00,2026-08-07T12:12:48,634.0
22436,2026-08-07,BSB,4,2026-08-07T14:00:00,2026-08-07T14:01:18,,,759.0
12952,2026-08-07,NDLS,1,,,2026-08-07T16:55:00,2026-08-07T17:00:00,0.0
12952,2026-08-07,KOTA,2,2026-08-07T21:30:00,2026-08-07T21:37:06,2026-08-07T21:40:00,2026-08-07T21:47:36,465.0
12952,2026-08-07,BRC,3,2026-08-08T03:40:00,2026-08-08T03:46:12,2026-08-08T03:50:00,2026-08-08T03:57:12,992.0
12952,2026-08-07,MMCT,4,2026-08-08T08:35:00,2026-08-08T08:43:18,,,1384.0
12302,2026-08-08,NDLS,1,,,2026-08-08T16:55:00,2026-08-08T16:57:00,0.0
12302,2026-08-08,CNB,2,2026-08-08T21:30:00,2026-08-08T21:39:48,2026-08-08T21:35:00,2026-08-08T21:46:48,440.0
12302,2026-08-08,PRYJ,3,2026-08-08T23:43:00,2026-08-08T23:52:54,2026-08-08T23:45:00,2026-08-08T23:55:24,634.0
12302,2026-08-08,DDU,4,2026-08-09T00:45:00,2026-08-09T00:57:06,2026-08-09T00:55:00,2026-08-09T01:07:36,787.0
12302,2026-08-08,GAYA,5,2026-08-09T03:10:00,2026-08-09T03:22:00,2026-08-09T03:13:00,2026-08-09T03:25:00,992.0
12302,2026-08-08,DHN,6,2026-08-09T05:55:00,2026-08-09T06:05:24,2026-08-09T06:00:00,2026-08-09T06:10:24,1193.0
12302,2026-08-08,ASN,7,2026-08-09T06:54:00,2026-08-09T07:03:36,2026-08-09T06:56:00,2026-08-09T07:07:36,1251.0
12302,2026-08-08,HWH,8,2026-08-09T09:55:00,2026-08-09T10:05:48,,,1450.0
22436,2026-08-08,NDLS,1,,,2026-08-08T06:00:00,2026-08-08T06:00:00,0.0
22436,2026-08-08,CNB,2,2026-08-08T10:08:00,2026-08-08T10:08:00,2026-08-08T10:10:00,2026-08-08T10:09:30,440.0
22436,2026-08-08,PRYJ,3,2026-08-08T12:08:00,2026-08-08T12:11:00,2026-08-08T12:10:00,2026-08-08T12:14:00,634.0
22436,2026-08-08,BSB,4,2026-08-08T14:00:00,2026-08-08T14:06:24,,,759.0
12952,2026-08-08,NDLS,1,,,2026-08-08T16:55:00,2026-08-08T16:55:00,0.0
12952,2026-08-08,KOTA,2,2026-08-08T21:30:00,2026-08-08T21:30:00,2026-08-08T21:40:00,2026-08-08T21:41:00,465.0
12952,2026-08-08,BRC,3,2026-08-09T03:40:00,2026-08-09T03:40:42,2026-08-09T03:50:00,2026-08-09T03:51:42,992.0
12952,2026-08-08,MMCT,4,2026-08-09T08:35:00,2026-08-09T08:35:00,,,1384.0
12302,2026-08-09,NDLS,1,,,2026-08-09T16:55:00,2026-08-09T16:55:00,0.0
12302,2026-08-09,CNB,2,2026-08-09T21:30:00,2026-08-09T21:38:48,2026-08-09T21:35:00,2026-08-09T21:44:48,440.0
12302,2026-08-09,PRYJ,3,2026-08-09T23:43:00,2026-08-09T23:50:24,2026-08-09T23:45:00,2026-08-09T23:51:54,634.0
12302,2026-08-09,DDU,4,2026-08-10T00:45:00,2026-08-10T00:56:36,2026-08-10T00:55:00,2026-08-10T01:06:36,787.0
12302,2026-08-09,GAYA,5,2026-08-10T03:10:00,2026-08-10T03:20:24,2026-08-10T03:13:00,2026-08-10T03:24:24,992.0
12302,2026-08-09,DHN,6,2026-08-10T05:55:00,2026-08-10T06:05:06,2026-08-10T06:00:00,2026-08-10T06:10:36,1193.0
12302,2026-08-09,ASN,7,2026-08-10T06:54:00,2026-08-10T07:00:42,2026-08-10T06:56:00,2026-08-10T07:03:12,1251.0
12302,2026-08-09,HWH,8,2026-08-10T09:55:00,2026-08-10T10:01:30,,,1450.0
22436,2026-08-09,NDLS,1,,,2026-08-09T06:00:00,2026-08-09T06:00:00,0.0
22436,2026-08-09,CNB,2,2026-08-09T10:08:00,2026-08-09T10:13:18,2026-08-09T10:10:00,2026-08-09T10:16:18,440.0
22436,2026-08-09,PRYJ,3,2026-08-09T12:08:00,2026-08-09T12:10:48,2026-08-09T12:10:00,2026-08-09T12:13:48,634.0
22436,2026-08-09,BSB,4,2026-08-09T14:00:00,2026-08-09T14:03:18,,,759.0
12952,2026-08-09,NDLS,1,,,2026-08-09T16:55:00,2026-08-09T16:55:00,0.0
12952,2026-08-09,KOTA,2,2026-08-09T21:30:00,2026-08-09T21:30:36,2026-08-09T21:40:00,2026-08-09T21:40:36,465.0
12952,2026-08-09,BRC,3,2026-08-10T03:40:00,2026-08-10T03:43:00,2026-08-10T03:50:00,2026-08-10T03:53:00,992.0
12952,2026-08-09,MMCT,4,2026-08-10T08:35:00,2026-08-10T08:38:12,,,1384.0
12302,2026-08-10,NDLS,1,,,2026-08-10T16:55:00,2026-08-10T16:55:00,0.0
12302,2026-08-10,CNB,2,2026-08-10T21:30:00,2026-08-10T21:30:00,2026-08-10T21:35:00,2026-08-10T21:37:00,440.0
12302,2026-08-10,PRYJ,3,2026-08-10T23:43:00,2026-08-10T23:43:00,2026-08-10T23:45:00,2026-08-10T23:44:30,634.0
12302,2026-08-10,DDU,4,2026-08-11T00:45:00,2026-08-11T00:48:24,2026-08-11T00:55:00,2026-08-11T00:57:54,787.0
12302,2026-08-10,GAYA,5,2026-08-11T03:10:00,2026-08-11T03:13:00,2026-08-11T03:13:00,2026-08-11T03:15:30,992.0
12302,2026-08-10,DHN,6,2026-08-11T05:55:00,2026-08-11T05:57:06,2026-08-11T06:00:00,2026-08-11T06:02:36,1193.0
12302,2026-08-10,ASN,7,2026-08-11T06:54:00,2026-08-11T06:54:12,2026-08-11T06:56:00,2026-08-11T06:57:12,1251.0
12302,2026-08-10,HWH,8,2026-08-11T09:55:00,2026-08-11T09:55:00,,,1450.0
22436,2026-08-10,NDLS,1,,,2026-08-10T06:00:00,2026-08-10T06:10:00,0.0
22436,2026-08-10,CNB,2,2026-08-10T10:08:00,2026-08-10T10:23:36,2026-08-10T10:10:00,2026-08-10T10:26:36,440.0
22436,2026-08-10,PRYJ,3,2026-08-10T12:08:00,2026-08-10T12:23:00,2026-08-10T12:10:00,2026-08-10T12:25:00,634.0
22436,2026-08-10,BSB,4,2026-08-10T14:00:00,2026-08-10T14:14:36,,,759.0
12952,2026-08-10,NDLS,1,,,2026-08-10T16:55:00,2026-08-10T16:55:00,0.0
12952,2026-08-10,KOTA,2,2026-08-10T21:30:00,2026-08-10T21:30:00,2026-08-10T21:40:00,2026-08-10T21:40:00,465.0
12952,2026-08-10,BRC,3,2026-08-11T03:40:00,2026-08-11T03:40:54,2026-08-11T03:50:00,2026-08-11T03:51:54,992.0
12952,2026-08-10,MMCT,4,2026-08-11T08:35:00,2026-08-11T08:39:42,,,1384.0
12302,2026-08-11,NDLS,1,,,2026-08-11T16:55:00,2026-08-11T17:05:00,0.0
12302,2026-08-11,CNB,2,2026-08-11T21:30:00,2026-08-11T21:43:24,2026-08-11T21:35:00,2026-08-11T21:47:54,440.0
12302,2026-08-11,PRYJ,3,2026-08-11T23:43:00,2026-08-11T23:57:12,2026-08-11T23:45:00,2026-08-11T23:59:42,634.0
12302,2026-08-11,DDU,4,2026-08-12T00:45:00,2026-08-12T01:02:06,2026-08-12T00:55:00,2026-08-12T01:11:36,787.0
12302,2026-08-11,GAYA,5,2026-08-12T03:10:00,2026-08-12T03:24:36,2026-08-12T03:13:00,2026-08-12T03:29:36,992.0
12302,2026-08-11,DHN,6,2026-08-12T05:55:00,2026-08-12T06:08:12,2026-08-12T06:00:00,2026-08-12T06:15:12,1193.0
12302,2026-08-11,ASN,7,2026-08-12T06:54:00,2026-08-12T07:07:54,2026-08-12T06:56:00,2026-08-12T07:10:24,1251.0
12302,2026-08-11,HWH,8,2026-08-12T09:55:00,2026-08-12T10:11:12,,,1450.0
22436,2026-08-11,NDLS,1,,,2026-08-11T06:00:00,2026-08-11T06:05:00,0.0
22436,2026-08-11,CNB,2,2026-08-11T10:08:00,2026-08-11T10:19:30,2026-08-11T10:10:00,2026-08-11T10:23:30,440.0
22436,2026-08-11,PRYJ,3,2026-08-11T12:08:00,2026-08-11T12:18:24,2026-08-11T12:10:00,2026-08-11T12:20:24,634.0
22436,2026-08-11,BSB,4,2026-08-11T14:00:00,2026-08-11T14:10:30,,,759.0
