train_number,run_date,station_code,sequence,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,distance_km,arrival_delay_min,departure_delay_min,station_dwell_time_min,scheduled_dwell_time_min,dwell_deviation_min,section_id,section_distance_km,sectional_running_time_min,scheduled_running_time_min,delay_recovery_min
12302,2026-08-05,NDLS,1,,,2026-08-05 16:55:00,2026-08-05 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-05,CNB,2,2026-08-05 21:30:00,2026-08-05 21:33:54,2026-08-05 21:35:00,2026-08-05 21:39:24,440.0,3.9,4.4,5.5,5.0,0.5,NDLS->CNB,440.0,278.9,275.0,-3.9
12302,2026-08-05,PRYJ,3,2026-08-05 23:43:00,2026-08-05 23:43:54,2026-08-05 23:45:00,2026-08-05 23:45:54,634.0,0.9,0.9,2.0,2.0,0.0,CNB->PRYJ,194.0,124.5,128.0,3.5000000000000004
12302,2026-08-05,DDU,4,2026-08-06 00:45:00,2026-08-06 00:47:06,2026-08-06 00:55:00,2026-08-06 00:57:06,787.0,2.1,2.1,10.0,10.0,0.0,PRYJ->DDU,153.0,61.2,60.0,-1.2000000000000002
12302,2026-08-05,GAYA,5,2026-08-06 03:10:00,2026-08-06 03:10:00,2026-08-06 03:13:00,2026-08-06 03:12:30,992.0,0.0,-0.5,2.5,3.0,-0.5,DDU->GAYA,205.0,132.9,135.0,2.1
12302,2026-08-05,DHN,6,2026-08-06 05:55:00,2026-08-06 05:55:00,2026-08-06 06:00:00,2026-08-06 06:00:30,1193.0,0.0,0.5,5.5,5.0,0.5,GAYA->DHN,201.0,162.5,162.0,-0.5
12302,2026-08-05,ASN,7,2026-08-06 06:54:00,2026-08-06 06:54:00,2026-08-06 06:56:00,2026-08-06 06:56:30,1251.0,0.0,0.5,2.5,2.0,0.5,DHN->ASN,58.0,53.5,54.0,0.5
12302,2026-08-05,HWH,8,2026-08-06 09:55:00,2026-08-06 09:55:12,,,1450.0,0.2,0.2,2.0,2.0,0.0,ASN->HWH,199.0,178.7,179.0,0.3
12302,2026-08-06,NDLS,1,,,2026-08-06 16:55:00,2026-08-06 17:05:00,0.0,0.0,10.0,2.0,2.0,0.0,,0.0,,,0.0
12302,2026-08-06,CNB,2,2026-08-06 21:30:00,2026-08-06 21:44:42,2026-08-06 21:35:00,2026-08-06 21:49:42,440.0,14.7,14.7,5.0,5.0,0.0,NDLS->CNB,440.0,279.7,275.0,-4.699999999999999
12302,2026-08-06,PRYJ,3,2026-08-06 23:43:00,2026-08-06 23:55:54,2026-08-06 23:45:00,2026-08-06 23:59:54,634.0,12.9,14.9,4.0,2.0,2.0,CNB->PRYJ,194.0,126.2,128.0,1.799999999999999
12302,2026-08-06,DDU,4,2026-08-07 00:45:00,2026-08-07 00:58:12,2026-08-07 00:55:00,2026-08-07 01:08:12,787.0,13.2,13.2,10.0,10.0,0.0,PRYJ->DDU,153.0,58.3,60.0,1.700000000000001
12302,2026-08-06,GAYA,5,2026-08-07 03:10:00,2026-08-07 03:21:06,2026-08-07 03:13:00,2026-08-07 03:23:36,992.0,11.1,10.6,2.5,3.0,-0.5,DDU->GAYA,205.0,132.9,135.0,2.0999999999999996
12302,2026-08-06,DHN,6,2026-08-07 05:55:00,2026-08-07 06:03:24,2026-08-07 06:00:00,2026-08-07 06:09:24,1193.0,8.4,9.4,6.0,5.0,1.0,GAYA->DHN,201.0,159.8,162.0,2.1999999999999993
12302,2026-08-06,ASN,7,2026-08-07 06:54:00,2026-08-07 06:58:06,2026-08-07 06:56:00,2026-08-07 07:00:06,1251.0,4.1,4.1,2.0,2.0,0.0,DHN->ASN,58.0,48.7,54.0,5.300000000000001
12302,2026-08-06,HWH,8,2026-08-07 09:55:00,2026-08-07 09:58:30,,,1450.0,3.5,3.5,2.0,2.0,0.0,ASN->HWH,199.0,178.4,179.0,0.5999999999999996
12302,2026-08-07,NDLS,1,,,2026-08-07 16:55:00,2026-08-07 16:55:00,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0
